"","GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneName"
"4","ENSMZEG00005000007",82864.4897047465,-0.934527697791168,0.221561368147465,-4.2179180675991,2.46568374538595e-05,0.00101701566112245,"APK84_gp13"
"7","ENSMZEG00005000011",84037.0412418777,-0.861824577104628,0.226074523065853,-3.81212604329408,0.000137776583333641,0.00370502416349656,"APK84_gp12"
"8","ENSMZEG00005000020",184905.964528421,-0.768961128227657,0.177770781565804,-4.3255765736903,1.52133407952902e-05,0.000706262129677651,"APK84_gp10"
"9","ENSMZEG00005000022",1876.63721845229,-1.33297365943171,0.211706182955867,-6.29633788121149,3.04759696279743e-10,1.0914267091212e-07,"APK84_gp09"
"10","ENSMZEG00005000023",134539.71154665,-0.642317967989071,0.206673897873745,-3.10788142381414,0.00188433655268945,0.0241399383073357,"APK84_gp08"
"11","ENSMZEG00005000024",204682.989136245,-0.557930884273602,0.17447871459334,-3.19770171148945,0.00138527490795104,0.0195594737354292,"APK84_gp07"
"13","ENSMZEG00005000026",13102.6206464288,-0.97020891774538,0.208964060109341,-4.64294633841683,3.43475582051613e-06,0.000222686669030129,"APK84_gp06"
"15","ENSMZEG00005000028",6898.07287608746,-1.30824173409258,0.251412302615708,-5.20357086937098,1.95495150735094e-07,2.13080270091072e-05,"APK84_gp05"
"16","ENSMZEG00005000029",87846.5863770256,-0.938331661982827,0.224278093019912,-4.18378651855008,2.86693353206254e-05,0.00113480270790167,"APK84_gp04"
"17","ENSMZEG00005000033",40548.2434735596,-0.896668591665672,0.204073259829257,-4.3938563651891,1.11357406096367e-05,0.000564594560976682,"APK84_gp03"
"18","ENSMZEG00005000034",19760.1696133388,-0.686028810402079,0.170977492610551,-4.01239250808702,6.01064509293914e-05,0.00195971350559094,"APK84_gp02"
"19","ENSMZEG00005000036",111845.815848955,-0.594002736975348,0.206735708877363,-2.87324691124219,0.00406276454151339,0.040577287997178,"APK84_gp01"
"21","ENSMZEG00005000081",154.707523337376,-1.47789620207436,0.341000158783937,-4.3340044396014,1.46421219528635e-05,0.000691120408996874,"cox7a1"
"24","ENSMZEG00005000108",8.69928385871112,-0.979750289308125,0.348881926106818,-2.80825751061737,0.00498103792487284,0.0467869182601919,"st3gal8"
"25","ENSMZEG00005000133",1493.63369732496,-0.412653668294329,0.114291527742452,-3.61053593774872,0.000305564957564622,0.00656586340245047,"COMTD1"
"27","ENSMZEG00005000145",578.099763100461,-0.807710713481437,0.205362499387384,-3.93309740527562,8.38582361010064e-05,0.0025434653121459,"VAMP3"
"28","ENSMZEG00005000157",199.475359411319,-0.623358125336001,0.212761174026281,-2.92984905816981,0.00339126690492627,0.0359051343705651,"ZNF503"
"30","ENSMZEG00005000214",39.971505139073,-1.43435880446628,0.506799808429396,-2.83022759797689,0.00465149018430779,0.0447725774481025,"apobb.1"
"31","ENSMZEG00005000259",934.139510203876,-0.302270194047443,0.0926267346889208,-3.26331479850383,0.00110117129763806,0.0165962770990714,"eif4a3"
"33","ENSMZEG00005000297",66.5353897340229,-2.52855825791049,0.463598280937429,-5.45420110876504,4.91935028582135e-08,6.89381249370816e-06,"lpcat1"
"35","ENSMZEG00005000357",175.536717977566,-0.687643718374557,0.199854302890994,-3.44072511038012,0.00058015761527661,0.0104548850765742,"bicc2"
"37","ENSMZEG00005000413",17.3383645574064,-1.06891734607632,0.340878121178562,-3.13577574993846,0.00171400209826157,0.0225694789658412,"ZCCHC24"
"40","ENSMZEG00005000480",119.096033940776,-0.793094141332294,0.143177728233038,-5.53922841994982,3.03807175602477e-08,4.93129316254899e-06,"ddb2"
"42","ENSMZEG00005000484",88.5472567256884,-0.72507935676165,0.245280438864199,-2.9561238561021,0.00311531961568913,0.033695034117535,"ksr1b"
"43","ENSMZEG00005000512",419.049885698555,-0.436577160447294,0.148175000167476,-2.94636180161195,0.00321536063566104,0.0344468027833734,"ISYNA1"
"45","ENSMZEG00005000593",918.644522822998,-0.958309169606785,0.209650176174785,-4.57099148253442,4.8542201445075e-06,0.000294411061560157,"znf277"
"46","ENSMZEG00005000685",235.277836299603,-0.547039445654432,0.124828183528118,-4.38233922975582,1.17411802796714e-05,0.000588904758939782,"mob1a"
"47","ENSMZEG00005000710",33.5397470924082,-1.04853747969076,0.32094400584536,-3.26704179107172,0.00108677636137934,0.0165005708381162,"dctd"
"48","ENSMZEG00005000728",51.2848837264291,-1.11234049861621,0.364737787495738,-3.04969909000505,0.00229070750545386,0.0277566824586734,"cyp27a2"
"49","ENSMZEG00005000769",123.692538729917,-0.664710187186527,0.222532866406103,-2.98702029017812,0.00281711024744645,0.0318116323337771,"keap1a"
"50","ENSMZEG00005000776",8220.34010051051,-1.04823094711387,0.187370433241157,-5.59443093011763,2.21346563526502e-08,3.8451036517487e-06,"rps2"
"51","ENSMZEG00005000787",47.5519517195765,-0.748276656152969,0.250752994889251,-2.98411852063206,0.00284396586730409,0.0319612784682817,"agtrap"
"52","ENSMZEG00005000812",2644.55965616963,-0.671796629469717,0.146357031157805,-4.59012200613289,4.42986997354342e-06,0.000276095929124549,"rpl22"
"53","ENSMZEG00005000833",8.61107044340641,-2.55106828821185,0.578642994832493,-4.40870849728396,1.03988879447829e-05,0.00054184690487342,"cutc"
"55","ENSMZEG00005000880",715.934435038638,-0.310424678446477,0.0662177370820369,-4.68793849088942,2.75970931632737e-06,0.000185311195223149,"rae1"
"56","ENSMZEG00005000906",5734.86048113391,-0.735997201442594,0.171156408658922,-4.30014398648243,1.70687172817936e-05,0.000762582968934312,"rpl23"
"57","ENSMZEG00005000912",26.3833459717534,-1.24516615289793,0.415246284617861,-2.99862081618339,0.00271204605159803,0.0309818648183062,"arr3a"
"58","ENSMZEG00005000922",51.5129958535894,-1.13723423539839,0.360486537748613,-3.15472040232318,0.00160651983222304,0.0215751788420335,"sim1a"
"59","ENSMZEG00005000933",347.544432371011,-0.650515881944202,0.21227075293147,-3.06455728337768,0.00217992423476675,0.0268169820144872,"lmo4a"
"60","ENSMZEG00005000952",15.9806471073556,-0.903655655760138,0.321173889926764,-2.81360248794258,0.00489897669181357,0.0463052836701708,"SMCO4"
"62","ENSMZEG00005000975",528.248935815335,-0.491521818028559,0.141690921628198,-3.46897184646967,0.000522454200098499,0.00971773426432178,"si:ch211-253b8.5"
"63","ENSMZEG00005000999",206.158838907063,-0.880106861794037,0.295825418176825,-2.97508871015257,0.00292903831487119,0.0326023495116545,"nsun6"
"65","ENSMZEG00005001075",204.486621993126,-0.688466929877308,0.227501150984361,-3.02621295276276,0.00247637826507833,0.029221781598691,"crlf3"
"66","ENSMZEG00005001082",291.256560075289,-0.691600923029752,0.148912581982233,-4.64434175959872,3.41162416289793e-06,0.000221824392977818,"ascc1"
"67","ENSMZEG00005001097",185.769711196608,-0.657871592922201,0.176918229099176,-3.71850654549236,0.000200404100439894,0.00480402094055263,"KLHL3"
"68","ENSMZEG00005001164",651.355320208638,-4.77985776443237,0.831388656761172,-5.74924582571668,8.96424033183207e-09,1.91139071007599e-06,"CHIA"
"69","ENSMZEG00005001169",152.26466736418,-1.27225789270554,0.33316522940614,-3.81869949326139,0.000134157069043249,0.00363804301893483,"p2ry12"
"71","ENSMZEG00005001223",111.293361044101,-0.791431601297958,0.176449506147446,-4.48531491290555,7.2806323232118e-06,0.000405594139447666,"nup37"
"72","ENSMZEG00005001242",19.7403824368179,-2.13494027915378,0.706135585774621,-3.02341408953605,0.00249939983298865,0.0294011778059906,"parpbp"
"73","ENSMZEG00005001279",179.532368458017,-1.31809524686059,0.240434590209419,-5.48213651668223,4.20219755992673e-08,6.07756290686326e-06,"si:ch211-110p13.9"
"74","ENSMZEG00005001289",71.7140193753541,-0.596384440943135,0.189464324275428,-3.1477400467022,0.00164537946355157,0.0219850739149895,"pnpla2"
"75","ENSMZEG00005001293",54.3524256258807,-1.36901573948477,0.429371282632901,-3.18841942826261,0.00143052870553195,0.0199355087425644,"adh5l"
"76","ENSMZEG00005001304",438.242504150967,-1.2086335755191,0.42365837100314,-2.85284950857288,0.00433291356131067,0.0425409903264976,"SLC39A12"
"78","ENSMZEG00005001367",20.4349155587853,-0.755580023431808,0.267580777980558,-2.82374552138684,0.00474660555500887,0.0453783536153009,"cyb5r4"
"82","ENSMZEG00005001404",1549.00546910326,-0.84137061738743,0.25908856382683,-3.24742476070764,0.00116454449715007,0.0172653961553504,"cdipt"
"85","ENSMZEG00005001412",115.24023267101,-1.17622492699515,0.310622423793393,-3.78667100922987,0.00015267903239868,0.0040008644935877,"spi1b"
"86","ENSMZEG00005001416",170.045962633886,-0.730371518555212,0.140851214144817,-5.18541159186798,2.15538315593029e-07,2.31570260781425e-05,"psmd9"
"88","ENSMZEG00005001420",12.4318687710897,-1.68782418581687,0.549858881737321,-3.06955883022943,0.00214375179986753,0.0265006498794655,"adam9b"
"89","ENSMZEG00005001433",37.8112367030179,-2.62452553483238,0.681869454758429,-3.84901467064864,0.000118593905393812,0.00331152932363266,"pip4k2cb"
"90","ENSMZEG00005001469",138.48495138838,-1.2123086210938,0.379771358097728,-3.19220656124845,0.0014119032322769,0.0197491387021894,"HSPA2"
"91","ENSMZEG00005001478",150.122235037639,-0.940655545110071,0.238000193474939,-3.95233101022298,7.73935823672298e-05,0.00237895641058507,"apol"
"93","ENSMZEG00005001490",114.873612051405,-0.78150459600498,0.161008184768058,-4.8538190597626,1.21106242900592e-06,9.82877356950779e-05,"JMJD8"
"95","ENSMZEG00005001504",6301.93988932331,-0.686170712440608,0.134482872048652,-5.10229073775558,3.35566704720442e-07,3.27751341640805e-05,"rpl3"
"97","ENSMZEG00005001570",202.952384041657,-0.461931705290153,0.10969936025379,-4.2108878686391,2.54368987799651e-05,0.00103780707101912,"scoca"
"98","ENSMZEG00005001574",134.023211828555,-0.660826975919773,0.192788712645817,-3.4277264827937,0.000608658361955744,0.0108362822865913,"lrrc58b"
"99","ENSMZEG00005001593",22.8317674999615,-1.29893160304714,0.396113413001209,-3.2791911619594,0.00104105089837569,0.0160438458805685,"kif17"
"101","ENSMZEG00005001628",635.642917782704,-0.831587282292468,0.188479706942634,-4.41207860401424,1.0238292776447e-05,0.000537200840981853,"ppfibp1a"
"102","ENSMZEG00005001645",587.670485876174,-0.60964595521195,0.202758695550786,-3.00675615196611,0.00264051483273803,0.0304137889486843,"cdc42l"
"103","ENSMZEG00005001672",130.854679148625,-0.897002109106534,0.303939816629497,-2.95124909613267,0.00316491563332918,0.0341006812412478,"FHOD1"
"104","ENSMZEG00005001711",126.907708793746,-0.499691728952816,0.137306801494148,-3.63923508169485,0.000273449087352236,0.00607838257028684,"arhgap25"
