"","GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneName"
"1","ENSMZEG00005000121",480.782454433514,2.41358884207088,0.46049106086888,5.24133701426644,1.59417250196712e-07,1.79838599946911e-05,"nr2c2"
"2","ENSMZEG00005000129",611.861537579311,1.54488062017685,0.412799108616402,3.74245144412957,0.000182233752943656,0.00451323593184937,"grin1b"
"3","ENSMZEG00005000174",126.251929667959,1.56983470020123,0.320883296305199,4.89222941261524,9.97001342541468e-07,8.30049604812568e-05,"slc15a1b"
"4","ENSMZEG00005000175",228.796374497097,0.379720285180885,0.135341871928773,2.80563789882204,0.005021708884773,0.0470709579801614,"arfgap1"
"6","ENSMZEG00005000255",149.17666677888,0.708956788796247,0.171632194872365,4.13067483826951,3.61699885206293e-05,0.00136306802292948,"eral1"
"7","ENSMZEG00005000273",539.05901049884,0.499531490301674,0.159993689306469,3.12219495948255,0.00179508021808452,0.0232777509957147,"ece2b"
"8","ENSMZEG00005000301",804.128215179652,0.996388036394861,0.296065472161911,3.36543139974782,0.00076424068270013,0.0128390158474165,"dock9b"
"9","ENSMZEG00005000332",328.36794528782,0.56609754701074,0.118081385821836,4.79413027778045,1.63382078748509e-06,0.000125381852405574,"shda"
"11","ENSMZEG00005000426",817.616464641351,0.766706013895522,0.188511934548168,4.0671484048646,4.75919365762697e-05,0.00168039009864444,"ppfia4"
"13","ENSMZEG00005000458",860.756913110477,0.569032793656167,0.152412322757049,3.73350909796989,0.000188830369563051,0.00461081255203632,"maco1a"
"14","ENSMZEG00005000463",13.3989460366725,1.24886331956173,0.435536986845226,2.86741047782822,0.00413845867697745,0.0410787086097515,"alg13"
"16","ENSMZEG00005000525",345.452041541911,0.510946694419394,0.176352772398076,2.8972989053217,0.00376390954276287,0.0384804902333129,"PLEKHA7"
"17","ENSMZEG00005000549",922.91303215681,0.846008495644754,0.297100142455614,2.84755331536452,0.00440567138973655,0.0430679193653535,"si:ch73-233f7.1"
"18","ENSMZEG00005000629",510.888597374266,0.642550559481657,0.160923743871378,3.99288845774824,6.52732777699627e-05,0.00208597123660892,"ercc5"
"19","ENSMZEG00005000632",439.379883082385,0.196655486281577,0.062740476107984,3.13442770091685,0.00172189679755272,0.0225868811316188,"tmem183a"
"21","ENSMZEG00005000637",844.592919769381,0.225639310342076,0.0724835572667844,3.1129723602221,0.00185213362557273,0.0238379000913701,"akap1b"
"22","ENSMZEG00005000677",67.6645729871111,0.667440571310346,0.204928842518886,3.25693817964563,0.00112620957814141,0.0168550174841397,"golph3b"
"23","ENSMZEG00005000736",2447.39404227031,0.171099876126963,0.0549618347235892,3.1130670398368,0.00185153954389275,0.0238379000913701,"OGDH"
"24","ENSMZEG00005000749",196.469531099686,0.387963535495098,0.133150746966905,2.91371655309997,0.0035715402814242,0.0371341437002271,"poglut1"
"25","ENSMZEG00005000780",289.511637857478,0.526196673146335,0.181869121118495,2.89327110567327,0.00381252062425406,0.0387993190457465,"ntrk2b"
"26","ENSMZEG00005000795",337.656556031416,4.80818912527924,0.803506308914855,5.98400917569989,2.17711041365761e-09,6.54932868705908e-07,"RNF207"
"27","ENSMZEG00005000823",586.595473748462,0.536033351487261,0.191889298047291,2.79345099983198,0.00521489290316015,0.0484989339163641,"khdrbs1b"
"28","ENSMZEG00005000826",4.74516637014381,3.5243975764915,0.698617365373463,5.04481816681933,4.5395286271549e-07,4.24982758862527e-05,"ggt5a"
"29","ENSMZEG00005000829",336.523793208482,0.757033362399339,0.26837831114244,2.82076952931397,0.00479086085686386,0.0456081867732331,"VANGL1"
"30","ENSMZEG00005000841",678.107500608677,0.637450437983949,0.22314338111323,2.8566853957478,0.00428089916922517,0.0421771384524272,"CHD5"
"31","ENSMZEG00005000951",3630.942931868,0.539703482265485,0.144272871540024,3.74085215400845,0.000183397384859176,0.00453707433902711,"maf1b"
"32","ENSMZEG00005000969",35.2901504907427,1.04821789262651,0.272855503884623,3.84165933141576,0.000122205369118127,0.00337891855152351,"vezf1b"
"34","ENSMZEG00005000971",110.538202136778,0.572099715825794,0.174933634611115,3.2703814626478,0.00107402544618719,0.0164216638301364,"ndor1"
"36","ENSMZEG00005001002",59.1167094119234,1.13957416645337,0.362748747435348,3.14149717817143,0.00168086428459446,0.0222687375155726,"RILPL1"
"38","ENSMZEG00005001055",7362.28106779779,0.211209742858637,0.0673590495199858,3.13558080708918,0.00171514169671117,0.0225694789658412,"HNRNPA0"
"39","ENSMZEG00005001057",43.9396683956536,1.30969208040678,0.388193845355284,3.3738094925439,0.000741356555558397,0.0125412873342123,"thbs4b"
"40","ENSMZEG00005001067",1366.05655488317,0.416927560581972,0.08337032390339,5.00091088844887,5.70600831301307e-07,5.19108707895971e-05,"smarce1"
"41","ENSMZEG00005001116",20.9845698207458,1.07355905059183,0.366597068857964,2.92844417424345,0.00340663001651744,0.0359664887377943,"cutc"
"42","ENSMZEG00005001187",93.0882745774168,3.69156710272063,0.866420716425215,4.26070964456131,2.0377883155081e-05,0.000875744380466547,"tyrp1a"
"47","ENSMZEG00005001418",2738.46189125391,0.424884120708814,0.129933765589359,3.27000544301633,0.00107545414977106,0.0164216638301364,"taok2a"
"48","ENSMZEG00005001517",201.120941411172,0.406151104949114,0.11981182207373,3.38990842405498,0.000699159749682561,0.0119503350548015,"smug1"
"49","ENSMZEG00005001543",2538.93987211049,0.259986068702342,0.0667057585777536,3.89750561638987,9.7188569068169e-05,0.00284775129261822,"hp1bp3"
"50","ENSMZEG00005001563",31.4711837042771,1.62288676444991,0.409192528213603,3.96607135407601,7.30669968013097e-05,0.00225914680876527,"spcs3"
"52","ENSMZEG00005001576",206.851386755464,0.466276549255066,0.150528928461333,3.0975876465821,0.00195102693684946,0.0247728084271608,"nudt18"
