GeneID,GeneName
ENSMZEG00005022304,COL12A1
ENSMZEG00005022344,naa20
ENSMZEG00005022345,crnkl1
ENSMZEG00005022350,CFAP61
ENSMZEG00005022355,insm1a
ENSMZEG00005022358,NA
ENSMZEG00005022362,xrn2
ENSMZEG00005022367,NKX2-4
ENSMZEG00005022368,NA
ENSMZEG00005022371,nkx2.2b
ENSMZEG00005022376,NA
ENSMZEG00005022381,flad1
ENSMZEG00005022385,shc1
ENSMZEG00005022390,NA
ENSMZEG00005022392,NA
ENSMZEG00005022395,s100t
ENSMZEG00005022397,chrnb2
ENSMZEG00005022400,she
ENSMZEG00005022402,NA
ENSMZEG00005022404,tuft1a
ENSMZEG00005022406,C1orf43
ENSMZEG00005022409,NA
ENSMZEG00005022412,aqp10a
ENSMZEG00005022415,NA
ENSMZEG00005022421,NA
ENSMZEG00005022422,NA
ENSMZEG00005022423,NA
ENSMZEG00005022424,znf687a
ENSMZEG00005022425,psmd4b
ENSMZEG00005022427,pip5k1ab
ENSMZEG00005022430,ecm1b
ENSMZEG00005022435,NA
ENSMZEG00005022438,them4
ENSMZEG00005022440,si:dkey-87o1.2
ENSMZEG00005022441,zgc:174935
ENSMZEG00005022445,NA
ENSMZEG00005022450,nbn
ENSMZEG00005022454,OSGIN2
ENSMZEG00005022457,gtpbp10
ENSMZEG00005022461,adam22
ENSMZEG00005022466,cldn12
ENSMZEG00005022467,dbf4
ENSMZEG00005022470,slc25a40
ENSMZEG00005022473,rundc3b
ENSMZEG00005022481,abcb4
ENSMZEG00005022489,crot
ENSMZEG00005022494,acbd7
ENSMZEG00005003189,rpp38
ENSMZEG00005003200,rpp38
ENSMZEG00005003211,nmt2
ENSMZEG00005003252,FAM171A1
ENSMZEG00005003271,NA
ENSMZEG00005003301,NA
ENSMZEG00005003314,NA
ENSMZEG00005003342,NA
ENSMZEG00005003396,NA
ENSMZEG00005004901,NA
ENSMZEG00005004918,NA
ENSMZEG00005004934,NA
ENSMZEG00005004966,NA
ENSMZEG00005004981,l3mbtl1b
ENSMZEG00005005006,NA
ENSMZEG00005005027,NA
ENSMZEG00005005034,ptpn3
ENSMZEG00005005066,NA
ENSMZEG00005005121,esrp1
ENSMZEG00005005192,virma
ENSMZEG00005005257,rnf41l
ENSMZEG00005005281,rad54b
ENSMZEG00005005330,fsbp
ENSMZEG00005005339,gem
ENSMZEG00005005358,cdh17
ENSMZEG00005005379,pdp1
ENSMZEG00005005408,tmem67
ENSMZEG00005005435,rbm12ba
ENSMZEG00005005446,si:ch211-197h24.6
ENSMZEG00005005459,tex10
ENSMZEG00005005471,invs
ENSMZEG00005005491,erp44
ENSMZEG00005005516,stx17
ENSMZEG00005005531,nr4a3
ENSMZEG00005005555,NA
ENSMZEG00005005560,sec61b
ENSMZEG00005005564,alg2
ENSMZEG00005005572,FRRS1L
ENSMZEG00005005582,TMEM245
ENSMZEG00005005604,galnt1
ENSMZEG00005005620,ino80c
ENSMZEG00005005627,SCRT1
ENSMZEG00005005632,egr2b
ENSMZEG00005005642,ADO
ENSMZEG00005005651,NA
ENSMZEG00005005663,bms1
ENSMZEG00005005723,mtr
ENSMZEG00005005864,NA
ENSMZEG00005006024,chrm3b
ENSMZEG00005006088,NA
ENSMZEG00005006093,NA
ENSMZEG00005006097,NA
ENSMZEG00005006116,si:ch211-214e3.5
ENSMZEG00005006125,NA
ENSMZEG00005006142,adgra1a
ENSMZEG00005006173,NA
ENSMZEG00005006234,arhgap23b
ENSMZEG00005006260,acbd4
ENSMZEG00005006275,plcd3b
ENSMZEG00005006321,galk1
ENSMZEG00005006365,llgl2
ENSMZEG00005006444,NA
ENSMZEG00005006599,tmem94
ENSMZEG00005006755,tdrkh
ENSMZEG00005006779,mbtd1
ENSMZEG00005006806,nme2a
ENSMZEG00005006835,stk35
ENSMZEG00005006845,NA
ENSMZEG00005006860,pdyn
ENSMZEG00005006876,gmeb2
ENSMZEG00005006899,tpk2
ENSMZEG00005006954,NA
ENSMZEG00005006965,tpx2
ENSMZEG00005006985,plod1a
ENSMZEG00005007027,si:dkeyp-104h9.5
ENSMZEG00005007033,phc2a
ENSMZEG00005007046,NA
ENSMZEG00005007062,rcc2
ENSMZEG00005007093,NA
ENSMZEG00005007111,tnnc1b
ENSMZEG00005007136,icmt
ENSMZEG00005007169,rtel1
ENSMZEG00005007216,ndufb11
ENSMZEG00005007225,tbc1d25
ENSMZEG00005007249,efhd2
ENSMZEG00005007283,dedd
ENSMZEG00005007309,ccdc22
ENSMZEG00005007354,ARHGEF10L
